facet,facet_value,year,value
Insgesamt,Insgesamt,1999,0.149
Insgesamt,Insgesamt,2000,0.149
Insgesamt,Insgesamt,2001,0.125
Insgesamt,Insgesamt,2002,0.126
Insgesamt,Insgesamt,2003,0.128
Insgesamt,Insgesamt,2004,0.121
Insgesamt,Insgesamt,2005,0.1382978882
Insgesamt,Insgesamt,2006,0.1408927735
Insgesamt,Insgesamt,2007,0.1273388568
Insgesamt,Insgesamt,2008,0.1180476155
Insgesamt,Insgesamt,2009,0.111
Insgesamt,Insgesamt,2010,0.1185944009
Insgesamt,Insgesamt,2011,0.115603618
Insgesamt,Insgesamt,2012,0.1036781516
Insgesamt,Insgesamt,2013,0.0980785501
Insgesamt,Insgesamt,2014,0.0952825666
Insgesamt,Insgesamt,2015,0.0981787702091135
Geschlecht,Männlich,1999,0.142
Geschlecht,Männlich,2000,0.146
Geschlecht,Männlich,2001,0.122
Geschlecht,Männlich,2002,0.126
Geschlecht,Männlich,2003,0.129
Geschlecht,Männlich,2004,0.122
Geschlecht,Männlich,2005,0.1348722093
Geschlecht,Männlich,2006,0.1437347088
Geschlecht,Männlich,2007,0.1347654283
Geschlecht,Männlich,2008,0.1237347407
Geschlecht,Männlich,2009,0.115
Geschlecht,Männlich,2010,0.12682134
Geschlecht,Männlich,2011,0.1246909041
Geschlecht,Männlich,2012,0.10965416
Geschlecht,Männlich,2013,0.1029733893
Geschlecht,Männlich,2014,0.1003320438
Geschlecht,Männlich,2015,0.10122864534437
Geschlecht,Weiblich,1999,0.156
Geschlecht,Weiblich,2000,0.152
Geschlecht,Weiblich,2001,0.128
Geschlecht,Weiblich,2002,0.126
Geschlecht,Weiblich,2003,0.128
Geschlecht,Weiblich,2004,0.119
Geschlecht,Weiblich,2005,0.1417568064
Geschlecht,Weiblich,2006,0.1379656048
Geschlecht,Weiblich,2007,0.1196565936
Geschlecht,Weiblich,2008,0.1121338861
Geschlecht,Weiblich,2009,0.108
Geschlecht,Weiblich,2010,0.1102266385
Geschlecht,Weiblich,2011,0.1061630966
Geschlecht,Weiblich,2012,0.0973439452
Geschlecht,Weiblich,2013,0.0928464489
Geschlecht,Weiblich,2014,0.0899268407
Geschlecht,Weiblich,2015,0.0949272600160507
Migrationshintergrund,Ohne Migrationshintergrund,2005,0.1084771537
Migrationshintergrund,Ohne Migrationshintergrund,2006,0.109080818
Migrationshintergrund,Ohne Migrationshintergrund,2007,0.101069061
Migrationshintergrund,Ohne Migrationshintergrund,2008,0.089153075
Migrationshintergrund,Ohne Migrationshintergrund,2009,0.0850302472
Migrationshintergrund,Ohne Migrationshintergrund,2010,0.0931926978
Migrationshintergrund,Ohne Migrationshintergrund,2011,0.0929310885
Migrationshintergrund,Ohne Migrationshintergrund,2012,0.0817279771
Migrationshintergrund,Ohne Migrationshintergrund,2013,0.0759255456
Migrationshintergrund,Ohne Migrationshintergrund,2014,0.0738599119
Migrationshintergrund,Ohne Migrationshintergrund,2015,0.0755149729618203
Migrationshintergrund,Mit Migrationshintergrund,2005,0.2433941855
Migrationshintergrund,Mit Migrationshintergrund,2006,0.2443414797
Migrationshintergrund,Mit Migrationshintergrund,2007,0.2221408414
Migrationshintergrund,Mit Migrationshintergrund,2008,0.2124359922
Migrationshintergrund,Mit Migrationshintergrund,2009,0.1979004666
Migrationshintergrund,Mit Migrationshintergrund,2010,0.2033267616
Migrationshintergrund,Mit Migrationshintergrund,2011,0.1900701782
Migrationshintergrund,Mit Migrationshintergrund,2012,0.172508357
Migrationshintergrund,Mit Migrationshintergrund,2013,0.1653516005
Migrationshintergrund,Mit Migrationshintergrund,2014,0.161159203583253
Migrationshintergrund,Mit Migrationshintergrund,2015,0.162700583545336
